id; date; text
1583466006378266625; 2022-10-21 14:31:29+00:00; "not4thechildren If you're looking on having a great trip, reach out to Tripystore for some guideline and great products with fast delivery"
1583466027509116929; 2022-10-21 14:31:34+00:00; "f1trolls_ Redbull power cheat Trains "
1583466144991567873; 2022-10-21 14:32:03+00:00; "mmm i love redbull"
1583466175014440961; 2022-10-21 14:32:10+00:00; "SilverArrowsNet If cost cap slows you down then you didn't belong at the front in the first place because all others have been following the rules."
1583466235475681280; 2022-10-21 14:32:24+00:00; "$200K Redbull Wololo Legacy | LIVE - !VPN !redbull !warlords "
1583466283592404993; 2022-10-21 14:32:36+00:00; "Redbull Wololo Legacy Day 1 "
1583466381932056576; 2022-10-21 14:32:59+00:00; "SilverArrowsNet We know the real GOAT."
1583466396998332416; 2022-10-21 14:33:03+00:00; "f1trolls_ You ain't redbull"
1583466433123479552; 2022-10-21 14:33:11+00:00; "santalix_ d_mp17 He's BEEN kissing Max's smelly asshole"
1583466472801595411; 2022-10-21 14:33:21+00:00; "SilverArrowsNet The Redbull boys are towing the party line "
1583466488073052160; 2022-10-21 14:33:24+00:00; "15Matthewdixon f1blag fia All 10 teams agreed in good faith that the cap will be followed. They also stayed under. Only one has taken the piss with catering. So good for you and Redbull, calculated the odds of a weak penalty, spent extra, gained the advantage and won. All hail Redbull."
1583466485275824129; 2022-10-21 14:33:24+00:00; "andrewbensonf1 when are we likely to hear from Redbull, Andrew? Waiting with baited breath!"
1583466497846153217; 2022-10-21 14:33:27+00:00; "Redbull Wololo Day 1 casting | !cocast "
1583466575155253253; 2022-10-21 14:33:45+00:00; "Willseh14 Hmm. Yes. It's always somebody else's fault. Neither RB or Max can ever be held accountable for their own choices."
1583466648438439936; 2022-10-21 14:34:03+00:00; "SilverArrowsNet We won't forget CH and HM attacking SLH every opportunity either. Rules must be followed (jewellery). It's time he retired.  He shouldn't return from break. He tried to kill MV. No apology for their brat using SLH's head as a car park. They are so toxic."
1583466677068390401; 2022-10-21 14:34:09+00:00; "CalumColdwell it's me i'm bitches"
1583466718919159809; 2022-10-21 14:34:19+00:00; "Yeah this is untrueYou have no way of knowing thisAnd the report says they didn't do a "full formal investigation" and were limited to "reviewing" the submissions by teamsThat is not the same as no investigation at allReviewing a submission is an investigation in of itself "
1583466884154150912; 2022-10-21 14:34:59+00:00; "DauT vs dogao - RedBull Wololo Legacy - THE FORGOTTEN CAST, Day 1! | !yt !twitter !of !stats "
1583466895642353672; 2022-10-21 14:35:01+00:00; "BurakRaaz KaLLex turkey yeee looks banging brother"
1583467090400661504; 2022-10-21 14:35:48+00:00; "Goatciello MertCl16 shanethecnfsr Max fans have the same energy towards British media What are you talking about cus it's clear you don't know what it is"
